number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_epochs,params_hidden_size,params_learning_rate,params_normalizer,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_pred_classes,user_attrs_pred_distribution,user_attrs_raw_f1_macro,state
0,0.2548677248677249,2026-06-10 12:05:37.241278,2026-06-10 12:05:39.297263,0 days 00:00:02.055985,32,0.3548548430061336,20,64,0.001,standard,1,30,0.001,2.0,"{-1: 167, 0: 1}",0.22486772486772488,COMPLETE
1,0.3043827160493827,2026-06-10 12:05:39.297404,2026-06-10 12:05:40.788620,0 days 00:00:01.491216,128,0.40126117429161284,20,256,0.0003,robust,1,100,1e-05,2.0,"{-1: 155, 0: 13}",0.27438271604938275,COMPLETE
2,0.07397891963109354,2026-06-10 12:05:40.788752,2026-06-10 12:05:44.500850,0 days 00:00:03.712098,64,0.44350482587898665,50,32,0.001,maxabs,2,80,0.0,1.0,{-1: 168},0.22397891963109354,COMPLETE
3,0.2548677248677249,2026-06-10 12:05:44.500985,2026-06-10 12:05:48.129075,0 days 00:00:03.628090,32,0.1132017359685086,50,256,0.0003,robust,1,30,1e-05,2.0,"{-1: 167, 0: 1}",0.22486772486772488,COMPLETE
4,-1.0,2026-06-10 12:05:48.129203,2026-06-10 12:05:49.524527,0 days 00:00:01.395324,32,0.27398083913146126,10,64,0.0003,none,2,80,0.001,,,,COMPLETE
5,0.2914537444933921,2026-06-10 12:05:49.524652,2026-06-10 12:05:51.115619,0 days 00:00:01.590967,64,0.423079098109549,20,256,0.001,maxabs,1,80,1e-05,2.0,"{-1: 142, 0: 26}",0.2614537444933921,COMPLETE
6,0.07397891963109354,2026-06-10 12:05:51.115750,2026-06-10 12:05:52.061282,0 days 00:00:00.945532,64,0.2727251238510616,10,256,0.0003,maxabs,2,30,0.0,1.0,{-1: 168},0.22397891963109354,COMPLETE
7,0.3226984126984127,2026-06-10 12:05:52.061419,2026-06-10 12:05:54.155108,0 days 00:00:02.093689,128,0.46625282863285683,50,128,0.0001,standard,3,30,0.0,2.0,"{-1: 140, 0: 28}",0.2926984126984127,COMPLETE
8,0.07397891963109354,2026-06-10 12:05:54.155226,2026-06-10 12:05:54.627381,0 days 00:00:00.472155,128,0.4814908920234948,10,32,0.0001,maxabs,1,50,0.001,1.0,{-1: 168},0.22397891963109354,COMPLETE
9,0.044092827004219404,2026-06-10 12:05:54.627487,2026-06-10 12:06:01.025075,0 days 00:00:06.397588,32,0.39499067712347147,30,128,0.001,maxabs,3,80,0.001,1.0,{1: 168},0.1940928270042194,COMPLETE
10,0.3237925170068028,2026-06-10 12:06:01.025183,2026-06-10 12:06:06.046367,0 days 00:00:05.021184,128,0.1024769166075798,50,128,0.0001,standard,3,100,0.0001,2.0,"{-1: 13, 1: 155}",0.29379251700680276,COMPLETE
11,0.30281861040265856,2026-06-10 12:06:06.046486,2026-06-10 12:06:11.058863,0 days 00:00:05.012377,128,0.10377690620421996,50,128,0.0001,standard,3,100,0.0001,2.0,"{-1: 10, 1: 158}",0.2728186104026586,COMPLETE
12,0.2604347826086957,2026-06-10 12:06:11.058977,2026-06-10 12:06:16.053007,0 days 00:00:04.994030,128,0.1935490657085405,50,128,0.0001,standard,3,100,0.0001,2.0,"{-1: 145, 1: 23}",0.23043478260869565,COMPLETE
13,0.07397891963109354,2026-06-10 12:06:16.053117,2026-06-10 12:06:18.937552,0 days 00:00:02.884435,128,0.3088296938308499,50,128,0.0001,standard,3,50,0.0001,1.0,{-1: 168},0.22397891963109354,COMPLETE
14,0.3002366127023661,2026-06-10 12:06:18.937667,2026-06-10 12:06:20.299996,0 days 00:00:01.362329,128,0.19919161322507783,30,128,0.0001,standard,3,30,0.0,2.0,"{-1: 61, 1: 107}",0.2702366127023661,COMPLETE
15,-1.0,2026-06-10 12:06:20.300109,2026-06-10 12:06:23.457195,0 days 00:00:03.157086,128,0.18558840344522332,50,128,0.0001,none,2,100,0.0001,,,,COMPLETE
16,0.2927530364372469,2026-06-10 12:06:23.457310,2026-06-10 12:06:28.442993,0 days 00:00:04.985683,128,0.3376247441444201,50,128,0.0001,standard,3,100,0.0,2.0,"{-1: 162, 0: 6}",0.26275303643724696,COMPLETE
17,0.31742937853107345,2026-06-10 12:06:28.443106,2026-06-10 12:06:30.492775,0 days 00:00:02.049669,128,0.49104571104891964,50,128,0.0001,standard,3,30,0.0,2.0,"{-1: 123, 0: 45}",0.2874293785310735,COMPLETE
18,0.044092827004219404,2026-06-10 12:06:30.492884,2026-06-10 12:06:31.946786,0 days 00:00:01.453902,128,0.15590154177675175,30,64,0.0001,standard,2,50,0.0001,1.0,{1: 168},0.1940928270042194,COMPLETE
19,-1.0,2026-06-10 12:06:31.946897,2026-06-10 12:06:35.685770,0 days 00:00:03.738873,64,0.2620168291204992,50,32,0.0001,none,3,30,0.0,,,,COMPLETE
