number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_epochs,params_hidden_size,params_learning_rate,params_normalizer,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_pred_classes,user_attrs_pred_distribution,user_attrs_raw_f1_macro,state
0,0.044092827004219404,2026-06-10 12:42:00.008857,2026-06-10 12:42:02.458080,0 days 00:00:02.449223,64,0.21657062255011128,20,32,0.001,maxabs,3,50,0.0001,1.0,{1: 168},0.1940928270042194,COMPLETE
1,0.2566666666666667,2026-06-10 12:42:02.458215,2026-06-10 12:42:04.531099,0 days 00:00:02.072884,128,0.15681141531099937,30,256,0.0003,standard,1,100,0.0001,2.0,"{-1: 165, 0: 3}",0.22666666666666668,COMPLETE
2,-0.0987179487179487,2026-06-10 12:42:04.531228,2026-06-10 12:42:07.719431,0 days 00:00:03.188203,64,0.12651127899394485,50,64,0.0001,robust,3,30,0.0001,1.0,{0: 168},0.05128205128205129,COMPLETE
3,0.29043134742686316,2026-06-10 12:42:07.719568,2026-06-10 12:42:12.679237,0 days 00:00:04.959669,32,0.2552103112594269,20,256,0.0001,robust,2,100,0.001,3.0,"{-1: 138, 0: 21, 1: 9}",0.26043134742686314,COMPLETE
4,0.2548677248677249,2026-06-10 12:42:12.679368,2026-06-10 12:42:14.131757,0 days 00:00:01.452389,128,0.10005356323896719,50,64,0.001,robust,1,50,0.0001,2.0,"{-1: 167, 0: 1}",0.22486772486772488,COMPLETE
5,0.3372072072072072,2026-06-10 12:42:14.131886,2026-06-10 12:42:15.530016,0 days 00:00:01.398130,32,0.49807061033567956,10,64,0.0003,maxabs,1,100,0.001,2.0,"{-1: 15, 1: 153}",0.3072072072072072,COMPLETE
6,0.23010449320794146,2026-06-10 12:42:15.530141,2026-06-10 12:42:20.967927,0 days 00:00:05.437786,32,0.26377514820238507,50,256,0.001,robust,2,30,0.0001,3.0,"{-1: 147, 0: 2, 1: 19}",0.20010449320794146,COMPLETE
7,-1.0,2026-06-10 12:42:20.968062,2026-06-10 12:42:22.354380,0 days 00:00:01.386318,128,0.25537645504649925,30,256,0.0003,none,2,30,1e-05,,,,COMPLETE
8,-1.0,2026-06-10 12:42:22.354501,2026-06-10 12:42:22.923040,0 days 00:00:00.568539,128,0.25451894128148755,30,32,0.0003,none,1,30,0.001,,,,COMPLETE
9,-1.0,2026-06-10 12:42:22.923157,2026-06-10 12:42:26.631421,0 days 00:00:03.708264,64,0.28349407905771945,50,256,0.001,none,1,100,0.0,,,,COMPLETE
10,0.3396850861556744,2026-06-10 12:42:26.631535,2026-06-10 12:42:29.213883,0 days 00:00:02.582348,32,0.4846532887245232,10,128,0.0003,maxabs,3,80,0.001,2.0,"{-1: 135, 1: 33}",0.3096850861556744,COMPLETE
11,0.3048893805309735,2026-06-10 12:42:29.213996,2026-06-10 12:42:31.749773,0 days 00:00:02.535777,32,0.4992544130073911,10,128,0.0003,maxabs,3,80,0.001,2.0,"{-1: 141, 1: 27}",0.27488938053097345,COMPLETE
12,0.4362006869024413,2026-06-10 12:42:31.749885,2026-06-10 12:42:33.523842,0 days 00:00:01.773957,32,0.497489483826735,10,128,0.0003,maxabs,2,80,0.001,2.0,"{-1: 104, 1: 64}",0.40620068690244127,COMPLETE
13,0.3684677512403369,2026-06-10 12:42:33.523958,2026-06-10 12:42:35.291209,0 days 00:00:01.767251,32,0.42142023131673845,10,128,0.0003,maxabs,2,80,0.001,2.0,"{-1: 129, 1: 39}",0.3384677512403369,COMPLETE
14,0.39410008591065293,2026-06-10 12:42:35.291319,2026-06-10 12:42:37.050998,0 days 00:00:01.759679,32,0.40566841618236626,10,128,0.0003,maxabs,2,80,0.0,2.0,"{-1: 109, 1: 59}",0.3641000859106529,COMPLETE
15,0.07397891963109354,2026-06-10 12:42:37.051115,2026-06-10 12:42:38.818398,0 days 00:00:01.767283,32,0.3889641447785421,10,128,0.0003,standard,2,80,0.0,1.0,{-1: 168},0.22397891963109354,COMPLETE
16,0.07397891963109354,2026-06-10 12:42:38.818514,2026-06-10 12:42:40.576240,0 days 00:00:01.757726,32,0.37092157416226257,10,128,0.0001,maxabs,2,80,0.0,1.0,{-1: 168},0.22397891963109354,COMPLETE
17,0.3913526570048309,2026-06-10 12:42:40.576353,2026-06-10 12:42:42.340315,0 days 00:00:01.763962,32,0.4384849546851982,10,128,0.0003,maxabs,2,80,1e-05,2.0,"{-1: 122, 1: 46}",0.3613526570048309,COMPLETE
18,0.07397891963109354,2026-06-10 12:42:42.340436,2026-06-10 12:42:44.103261,0 days 00:00:01.762825,32,0.34994353542444273,10,128,0.0003,maxabs,2,80,0.0,1.0,{-1: 168},0.22397891963109354,COMPLETE
19,0.378425430778372,2026-06-10 12:42:44.103371,2026-06-10 12:42:46.874667,0 days 00:00:02.771296,64,0.32692903285855457,20,128,0.0001,standard,3,80,0.0,2.0,"{-1: 135, 1: 33}",0.348425430778372,COMPLETE
20,0.2786338797814208,2026-06-10 12:42:46.874775,2026-06-10 12:42:48.564692,0 days 00:00:01.689917,32,0.44195764736672677,10,32,0.0003,maxabs,2,50,1e-05,2.0,"{-1: 115, 1: 53}",0.2486338797814208,COMPLETE
21,0.4063387978142077,2026-06-10 12:42:48.564800,2026-06-10 12:42:50.345740,0 days 00:00:01.780940,32,0.4433186901903828,10,128,0.0003,maxabs,2,80,1e-05,2.0,"{-1: 115, 1: 53}",0.37633879781420765,COMPLETE
22,0.07397891963109354,2026-06-10 12:42:50.345861,2026-06-10 12:42:52.107472,0 days 00:00:01.761611,32,0.4601740911553017,10,128,0.0003,maxabs,2,80,1e-05,1.0,{-1: 168},0.22397891963109354,COMPLETE
23,0.26291758376131086,2026-06-10 12:42:52.107590,2026-06-10 12:42:53.872724,0 days 00:00:01.765134,32,0.4007937311171236,10,128,0.0003,maxabs,2,80,1e-05,2.0,"{-1: 150, 1: 18}",0.23291758376131086,COMPLETE
24,0.07397891963109354,2026-06-10 12:42:53.872835,2026-06-10 12:42:55.631445,0 days 00:00:01.758610,32,0.45435821892043715,10,128,0.0003,maxabs,2,80,0.0,1.0,{-1: 168},0.22397891963109354,COMPLETE
25,0.3527475888026347,2026-06-10 12:42:55.631561,2026-06-10 12:42:57.396428,0 days 00:00:01.764867,32,0.4101911982924676,10,128,0.0003,maxabs,2,80,1e-05,2.0,"{-1: 133, 1: 35}",0.3227475888026347,COMPLETE
26,0.07397891963109354,2026-06-10 12:42:57.396543,2026-06-10 12:42:58.769180,0 days 00:00:01.372637,32,0.32706909277903357,10,128,0.0003,maxabs,1,80,0.001,1.0,{-1: 168},0.22397891963109354,COMPLETE
27,0.07397891963109354,2026-06-10 12:42:58.769293,2026-06-10 12:43:03.222759,0 days 00:00:04.453466,32,0.46514115108190485,20,128,0.0003,standard,3,80,1e-05,1.0,{-1: 168},0.22397891963109354,COMPLETE
28,-1.0,2026-06-10 12:43:03.222870,2026-06-10 12:43:04.353982,0 days 00:00:01.131112,128,0.3747250295453638,30,64,0.0001,none,2,50,0.0,,,,COMPLETE
29,0.33145851444025887,2026-06-10 12:43:04.354096,2026-06-10 12:43:06.370673,0 days 00:00:02.016577,64,0.4714767446107911,20,32,0.001,maxabs,3,50,0.001,2.0,"{-1: 153, 0: 15}",0.30145851444025884,COMPLETE
30,0.07397891963109354,2026-06-10 12:43:06.370784,2026-06-10 12:43:07.521511,0 days 00:00:01.150727,64,0.4293334138119933,10,32,0.001,maxabs,2,80,1e-05,1.0,{-1: 168},0.22397891963109354,COMPLETE
31,0.07397891963109354,2026-06-10 12:43:07.521630,2026-06-10 12:43:09.296476,0 days 00:00:01.774846,32,0.43681371043794487,10,128,0.0003,maxabs,2,80,1e-05,1.0,{-1: 168},0.22397891963109354,COMPLETE
32,0.2738244696309212,2026-06-10 12:43:09.296590,2026-06-10 12:43:11.069131,0 days 00:00:01.772541,32,0.4147510927225717,10,128,0.0003,maxabs,2,80,1e-05,2.0,"{-1: 163, 1: 5}",0.24382446963092122,COMPLETE
33,0.07397891963109354,2026-06-10 12:43:11.069241,2026-06-10 12:43:12.840539,0 days 00:00:01.771298,32,0.44944509125030585,10,128,0.0003,maxabs,2,80,1e-05,1.0,{-1: 168},0.22397891963109354,COMPLETE
34,0.07397891963109354,2026-06-10 12:43:12.840651,2026-06-10 12:43:15.263587,0 days 00:00:02.422936,32,0.1851271270272834,10,128,0.0003,maxabs,2,100,0.0001,1.0,{-1: 168},0.22397891963109354,COMPLETE
35,0.25222222222222224,2026-06-10 12:43:15.263696,2026-06-10 12:43:20.961526,0 days 00:00:05.697830,32,0.35378406651827354,50,128,0.0003,robust,1,80,1e-05,2.0,"{-1: 161, 0: 7}",0.2222222222222222,COMPLETE
36,0.044092827004219404,2026-06-10 12:43:20.961642,2026-06-10 12:43:22.054471,0 days 00:00:01.092829,128,0.48132629623514256,30,64,0.0001,standard,2,30,0.0001,1.0,{1: 168},0.1940928270042194,COMPLETE
37,0.3230551530957211,2026-06-10 12:43:22.054583,2026-06-10 12:43:24.377975,0 days 00:00:02.323392,32,0.39666708845714416,10,128,0.0003,robust,2,100,0.0,2.0,"{-1: 153, 0: 15}",0.29305515309572105,COMPLETE
38,0.31209606986899563,2026-06-10 12:43:24.378089,2026-06-10 12:43:27.000474,0 days 00:00:02.622385,32,0.4361671092708168,20,256,0.0003,maxabs,1,80,0.001,3.0,"{-1: 144, 0: 3, 1: 21}",0.2820960698689956,COMPLETE
39,0.30401552170163837,2026-06-10 12:43:27.000588,2026-06-10 12:43:29.460979,0 days 00:00:02.460391,128,0.4935788212148287,50,64,0.001,maxabs,3,50,1e-05,3.0,"{-1: 160, 0: 6, 1: 2}",0.2740155217016384,COMPLETE
40,-1.0,2026-06-10 12:43:29.461091,2026-06-10 12:43:30.149458,0 days 00:00:00.688367,64,0.4678736357962302,10,256,0.0003,none,2,30,0.0001,,,,COMPLETE
41,0.4171355060034305,2026-06-10 12:43:30.149572,2026-06-10 12:43:32.878807,0 days 00:00:02.729235,64,0.3096316098892225,20,128,0.0001,standard,3,80,0.0,2.0,"{-1: 127, 1: 41}",0.3871355060034305,COMPLETE
42,0.35871523453715226,2026-06-10 12:43:32.878922,2026-06-10 12:43:35.611245,0 days 00:00:02.732323,64,0.22407605369060118,20,128,0.0001,standard,3,80,0.0,2.0,"{-1: 91, 1: 77}",0.3287152345371523,COMPLETE
43,0.3784169044707161,2026-06-10 12:43:35.611355,2026-06-10 12:43:38.364123,0 days 00:00:02.752768,64,0.3320159112868449,20,128,0.0001,standard,3,80,0.0,2.0,"{-1: 138, 1: 30}",0.3484169044707161,COMPLETE
44,0.4015869319497215,2026-06-10 12:43:38.364238,2026-06-10 12:43:41.146882,0 days 00:00:02.782644,64,0.302450043994549,20,128,0.0001,standard,3,80,0.0,2.0,"{-1: 114, 1: 54}",0.37158693194972153,COMPLETE
45,0.3931954465287799,2026-06-10 12:43:41.147000,2026-06-10 12:43:44.393496,0 days 00:00:03.246496,64,0.2808250503247512,20,128,0.0001,standard,3,100,0.0,3.0,"{-1: 131, 0: 7, 1: 30}",0.3631954465287799,COMPLETE
46,0.3817628205128205,2026-06-10 12:43:44.393607,2026-06-10 12:43:47.129446,0 days 00:00:02.735839,64,0.28304503130459446,20,128,0.0001,standard,3,80,0.0,2.0,"{-1: 107, 1: 61}",0.35176282051282054,COMPLETE
47,0.20180577706893496,2026-06-10 12:43:47.129559,2026-06-10 12:43:49.406252,0 days 00:00:02.276693,64,0.31195965348112376,20,32,0.0001,standard,3,80,0.0,2.0,"{0: 138, 1: 30}",0.17180577706893496,COMPLETE
48,0.07397891963109354,2026-06-10 12:43:49.406363,2026-06-10 12:43:51.489912,0 days 00:00:02.083549,64,0.23476547066121972,20,256,0.0001,standard,3,30,0.0,1.0,{-1: 168},0.22397891963109354,COMPLETE
49,0.24505376344086022,2026-06-10 12:43:51.490023,2026-06-10 12:43:55.304468,0 days 00:00:03.814445,64,0.307141052969397,30,128,0.0001,robust,3,80,0.001,2.0,"{-1: 163, 1: 5}",0.21505376344086022,COMPLETE
50,-0.0987179487179487,2026-06-10 12:43:55.304583,2026-06-10 12:44:00.742005,0 days 00:00:05.437422,64,0.18088452308168057,50,64,0.0001,standard,3,80,0.0,1.0,{0: 168},0.05128205128205129,COMPLETE
51,0.32175401816911253,2026-06-10 12:44:00.742118,2026-06-10 12:44:03.944603,0 days 00:00:03.202485,64,0.2759456505443227,20,128,0.0001,standard,3,100,0.0,3.0,"{-1: 127, 0: 4, 1: 37}",0.2917540181691125,COMPLETE
52,0.2734635333968456,2026-06-10 12:44:03.944718,2026-06-10 12:44:07.148142,0 days 00:00:03.203424,64,0.24647548854953055,20,128,0.0001,standard,3,100,0.0,2.0,"{-1: 103, 1: 65}",0.24346353339684557,COMPLETE
53,0.41202497769848345,2026-06-10 12:44:07.148252,2026-06-10 12:44:10.352849,0 days 00:00:03.204597,64,0.30745182525579173,20,128,0.0001,standard,3,100,0.0,3.0,"{-1: 151, 0: 10, 1: 7}",0.3820249776984835,COMPLETE
54,0.4048311542676555,2026-06-10 12:44:10.352956,2026-06-10 12:44:13.565523,0 days 00:00:03.212567,64,0.3019224918034195,20,128,0.0001,standard,3,100,0.0,3.0,"{-1: 147, 0: 8, 1: 13}",0.3748311542676555,COMPLETE
55,0.40730050637331927,2026-06-10 12:44:13.565636,2026-06-10 12:44:16.773051,0 days 00:00:03.207415,64,0.2966279193968279,20,128,0.0001,standard,3,100,0.0,3.0,"{-1: 145, 0: 9, 1: 14}",0.3773005063733193,COMPLETE
56,0.4127586206896552,2026-06-10 12:44:16.773163,2026-06-10 12:44:19.981185,0 days 00:00:03.208022,64,0.29916452995080445,20,128,0.0001,standard,3,100,0.001,3.0,"{-1: 147, 0: 10, 1: 11}",0.38275862068965516,COMPLETE
57,0.3729089886097434,2026-06-10 12:44:19.981298,2026-06-10 12:44:23.195940,0 days 00:00:03.214642,64,0.34630491656904056,20,128,0.0001,standard,3,100,0.001,3.0,"{-1: 148, 0: 15, 1: 5}",0.3429089886097434,COMPLETE
58,0.28197255574614066,2026-06-10 12:44:23.196053,2026-06-10 12:44:26.415642,0 days 00:00:03.219589,64,0.2632977006456979,20,128,0.0001,standard,3,100,0.001,2.0,"{-1: 127, 1: 41}",0.25197255574614064,COMPLETE
59,-1.0,2026-06-10 12:44:26.415753,2026-06-10 12:44:29.050660,0 days 00:00:02.634907,64,0.3631508149590569,20,128,0.0001,none,3,100,0.001,,,,COMPLETE
60,0.07397891963109354,2026-06-10 12:44:29.050774,2026-06-10 12:44:31.459901,0 days 00:00:02.409127,128,0.2071841171873155,20,128,0.001,standard,3,100,0.001,1.0,{-1: 168},0.22397891963109354,COMPLETE
61,0.3994032269428591,2026-06-10 12:44:31.460012,2026-06-10 12:44:34.721215,0 days 00:00:03.261203,64,0.2970213035464455,20,128,0.0001,standard,3,100,0.0,3.0,"{-1: 143, 0: 11, 1: 14}",0.36940322694285915,COMPLETE
