number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_normalizer,user_attrs_pred_classes,user_attrs_pred_distribution,user_attrs_raw_f1_macro,state
0,0.2484873949579832,2026-06-10 12:40:32.970595,2026-06-10 12:40:33.079223,0 days 00:00:00.108628,,log2,5,20,100,robust,2,"{-1: 153, 0: 15}",0.2184873949579832,COMPLETE
1,0.2484873949579832,2026-06-10 12:40:33.079436,2026-06-10 12:40:33.477151,0 days 00:00:00.397715,,,5,10,500,none,2,"{-1: 153, 0: 15}",0.2184873949579832,COMPLETE
2,0.07397891963109354,2026-06-10 12:40:33.477307,2026-06-10 12:40:33.856250,0 days 00:00:00.378943,5.0,,50,50,500,robust,1,{-1: 168},0.22397891963109354,COMPLETE
3,0.07397891963109354,2026-06-10 12:40:33.856385,2026-06-10 12:40:33.945965,0 days 00:00:00.089580,3.0,log2,20,10,100,none,1,{-1: 168},0.22397891963109354,COMPLETE
4,0.24937321937321938,2026-06-10 12:40:33.946092,2026-06-10 12:40:34.295085,0 days 00:00:00.348993,5.0,sqrt,10,10,500,standard,2,"{-1: 149, 0: 19}",0.21937321937321938,COMPLETE
5,0.07397891963109354,2026-06-10 12:40:34.295217,2026-06-10 12:40:34.512129,0 days 00:00:00.216912,,sqrt,50,20,300,maxabs,1,{-1: 168},0.22397891963109354,COMPLETE
6,0.24560283687943263,2026-06-10 12:40:34.512257,2026-06-10 12:40:34.744949,0 days 00:00:00.232692,3.0,,20,50,300,maxabs,2,"{-1: 150, 0: 18}",0.21560283687943263,COMPLETE
7,0.07397891963109354,2026-06-10 12:40:34.745099,2026-06-10 12:40:34.963300,0 days 00:00:00.218201,,log2,50,10,300,standard,1,{-1: 168},0.22397891963109354,COMPLETE
8,0.07397891963109354,2026-06-10 12:40:34.963418,2026-06-10 12:40:35.333328,0 days 00:00:00.369910,3.0,,50,10,500,maxabs,1,{-1: 168},0.22397891963109354,COMPLETE
9,0.2986453576864535,2026-06-10 12:40:35.333444,2026-06-10 12:40:35.575815,0 days 00:00:00.242371,8.0,,10,10,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
10,0.2986453576864535,2026-06-10 12:40:35.575935,2026-06-10 12:40:35.828552,0 days 00:00:00.252617,8.0,,10,20,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
11,0.2986453576864535,2026-06-10 12:40:35.828668,2026-06-10 12:40:36.079877,0 days 00:00:00.251209,8.0,,10,20,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
12,0.2986453576864535,2026-06-10 12:40:36.079999,2026-06-10 12:40:36.336822,0 days 00:00:00.256823,8.0,,10,20,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
13,0.2986453576864535,2026-06-10 12:40:36.336946,2026-06-10 12:40:36.585218,0 days 00:00:00.248272,8.0,,10,20,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
14,0.2986453576864535,2026-06-10 12:40:36.585336,2026-06-10 12:40:36.831130,0 days 00:00:00.245794,12.0,,10,50,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
15,0.24839080459770113,2026-06-10 12:40:36.831247,2026-06-10 12:40:37.051237,0 days 00:00:00.219990,8.0,sqrt,10,10,300,standard,2,"{-1: 147, 0: 21}",0.21839080459770113,COMPLETE
16,0.2986453576864535,2026-06-10 12:40:37.051351,2026-06-10 12:40:37.157130,0 days 00:00:00.105779,8.0,,10,20,100,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
17,0.24739130434782608,2026-06-10 12:40:37.157258,2026-06-10 12:40:37.399909,0 days 00:00:00.242651,12.0,,10,20,300,none,2,"{-1: 145, 0: 23}",0.21739130434782608,COMPLETE
18,0.25127659574468086,2026-06-10 12:40:37.400054,2026-06-10 12:40:37.624222,0 days 00:00:00.224168,8.0,log2,20,10,300,robust,2,"{-1: 150, 0: 18}",0.22127659574468084,COMPLETE
19,0.25317596566523604,2026-06-10 12:40:37.624337,2026-06-10 12:40:37.716405,0 days 00:00:00.092068,8.0,sqrt,5,50,100,standard,2,"{-1: 148, 0: 20}",0.22317596566523604,COMPLETE
20,0.2986453576864535,2026-06-10 12:40:37.716510,2026-06-10 12:40:37.972780,0 days 00:00:00.256270,8.0,,10,10,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
21,0.2986453576864535,2026-06-10 12:40:37.972897,2026-06-10 12:40:38.213444,0 days 00:00:00.240547,8.0,,10,20,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
22,0.2986453576864535,2026-06-10 12:40:38.213562,2026-06-10 12:40:38.460431,0 days 00:00:00.246869,8.0,,10,20,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
23,0.2986453576864535,2026-06-10 12:40:38.460543,2026-06-10 12:40:38.704951,0 days 00:00:00.244408,8.0,,10,20,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
24,0.2986453576864535,2026-06-10 12:40:38.705067,2026-06-10 12:40:38.947134,0 days 00:00:00.242067,8.0,,10,20,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
25,0.2986453576864535,2026-06-10 12:40:38.947275,2026-06-10 12:40:39.201554,0 days 00:00:00.254279,12.0,,10,20,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
26,0.24739130434782608,2026-06-10 12:40:39.201671,2026-06-10 12:40:39.437374,0 days 00:00:00.235703,5.0,,10,20,300,none,2,"{-1: 145, 0: 23}",0.21739130434782608,COMPLETE
27,0.2721099290780142,2026-06-10 12:40:39.437488,2026-06-10 12:40:39.695128,0 days 00:00:00.257640,8.0,,5,20,300,robust,2,"{-1: 150, 0: 18}",0.24210992907801418,COMPLETE
28,0.25222222222222224,2026-06-10 12:40:39.695249,2026-06-10 12:40:39.785946,0 days 00:00:00.090697,8.0,sqrt,20,50,100,maxabs,2,"{-1: 146, 0: 22}",0.2222222222222222,COMPLETE
29,0.24944444444444444,2026-06-10 12:40:39.786060,2026-06-10 12:40:40.139878,0 days 00:00:00.353818,8.0,log2,5,10,500,robust,2,"{-1: 155, 0: 13}",0.21944444444444444,COMPLETE
30,0.2503147353361946,2026-06-10 12:40:40.139994,2026-06-10 12:40:40.232500,0 days 00:00:00.092506,5.0,log2,10,20,100,standard,2,"{-1: 148, 0: 20}",0.22031473533619458,COMPLETE
31,0.2986453576864535,2026-06-10 12:40:40.232615,2026-06-10 12:40:40.487963,0 days 00:00:00.255348,8.0,,10,20,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
32,0.2986453576864535,2026-06-10 12:40:40.488077,2026-06-10 12:40:40.738550,0 days 00:00:00.250473,8.0,,10,20,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
33,0.2986453576864535,2026-06-10 12:40:40.738662,2026-06-10 12:40:40.979800,0 days 00:00:00.241138,,,10,20,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
34,0.24834061135371177,2026-06-10 12:40:40.979916,2026-06-10 12:40:41.438416,0 days 00:00:00.458500,8.0,,10,20,500,none,2,"{-1: 144, 0: 24}",0.21834061135371177,COMPLETE
35,0.27242424242424246,2026-06-10 12:40:41.438540,2026-06-10 12:40:41.673738,0 days 00:00:00.235198,3.0,,5,10,300,standard,2,"{-1: 149, 0: 19}",0.24242424242424243,COMPLETE
36,0.07397891963109354,2026-06-10 12:40:41.673874,2026-06-10 12:40:41.909103,0 days 00:00:00.235229,8.0,,50,20,300,standard,1,{-1: 168},0.22397891963109354,COMPLETE
37,0.25033898305084745,2026-06-10 12:40:41.909224,2026-06-10 12:40:42.304501,0 days 00:00:00.395277,5.0,,20,10,500,robust,2,"{-1: 151, 0: 17}",0.22033898305084745,COMPLETE
38,0.24933621933621936,2026-06-10 12:40:42.304637,2026-06-10 12:40:42.527318,0 days 00:00:00.222681,,sqrt,10,50,300,maxabs,2,"{-1: 146, 0: 22}",0.21933621933621936,COMPLETE
39,0.07397891963109354,2026-06-10 12:40:42.527429,2026-06-10 12:40:42.745222,0 days 00:00:00.217793,3.0,log2,50,20,300,none,1,{-1: 168},0.22397891963109354,COMPLETE
40,0.2986453576864535,2026-06-10 12:40:42.745335,2026-06-10 12:40:42.843319,0 days 00:00:00.097984,12.0,,10,10,100,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
41,0.2986453576864535,2026-06-10 12:40:42.843430,2026-06-10 12:40:43.096527,0 days 00:00:00.253097,8.0,,10,20,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
42,0.2986453576864535,2026-06-10 12:40:43.096655,2026-06-10 12:40:43.340025,0 days 00:00:00.243370,8.0,,10,20,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
43,0.2986453576864535,2026-06-10 12:40:43.340137,2026-06-10 12:40:43.584654,0 days 00:00:00.244517,8.0,,10,20,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
44,0.2986453576864535,2026-06-10 12:40:43.584770,2026-06-10 12:40:43.828763,0 days 00:00:00.243993,8.0,,10,20,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
45,0.2986453576864535,2026-06-10 12:40:43.828884,2026-06-10 12:40:44.072099,0 days 00:00:00.243215,8.0,,10,20,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
46,0.25033898305084745,2026-06-10 12:40:44.072222,2026-06-10 12:40:44.456218,0 days 00:00:00.383996,8.0,,20,50,500,maxabs,2,"{-1: 151, 0: 17}",0.22033898305084745,COMPLETE
47,0.07397891963109354,2026-06-10 12:40:44.456329,2026-06-10 12:40:44.674439,0 days 00:00:00.218110,,sqrt,50,10,300,standard,1,{-1: 168},0.22397891963109354,COMPLETE
48,0.2986453576864535,2026-06-10 12:40:44.674555,2026-06-10 12:40:44.903629,0 days 00:00:00.229074,3.0,,10,20,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
49,0.2503147353361946,2026-06-10 12:40:44.903741,2026-06-10 12:40:45.120197,0 days 00:00:00.216456,8.0,log2,10,10,300,standard,2,"{-1: 148, 0: 20}",0.22031473533619458,COMPLETE
50,0.2986453576864535,2026-06-10 12:40:45.120308,2026-06-10 12:40:45.223563,0 days 00:00:00.103255,12.0,,10,20,100,robust,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
51,0.2986453576864535,2026-06-10 12:40:45.223673,2026-06-10 12:40:45.468626,0 days 00:00:00.244953,12.0,,10,50,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
52,0.2986453576864535,2026-06-10 12:40:45.468741,2026-06-10 12:40:45.718160,0 days 00:00:00.249419,12.0,,10,50,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
53,0.2986453576864535,2026-06-10 12:40:45.718279,2026-06-10 12:40:45.968416,0 days 00:00:00.250137,12.0,,10,50,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
54,0.2986453576864535,2026-06-10 12:40:45.968538,2026-06-10 12:40:46.216246,0 days 00:00:00.247708,8.0,,10,50,300,standard,2,"{-1: 134, 0: 34}",0.26864535768645353,COMPLETE
55,0.27362674362674366,2026-06-10 12:40:46.216357,2026-06-10 12:40:46.469311,0 days 00:00:00.252954,12.0,,5,50,300,standard,2,"{-1: 146, 0: 22}",0.24362674362674364,COMPLETE
